-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    tree.branch_forward         0.00%       0.000us         0.00%       0.000us       0.000us     561.731ms        59.04%     561.731ms     561.731ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         1.34%      12.847ms         5.99%      57.381ms     113.625us     541.620ms        56.93%     541.620ms       1.073ms           0 B           0 B       8.73 GB       8.73 GB           505  
                                      tree.root_forward         0.00%       0.000us         0.00%       0.000us       0.000us     396.176ms        41.64%     396.176ms     396.176ms           0 B           0 B           0 B           0 B             1  
ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us     259.903ms        27.32%     259.903ms       1.805ms           0 B           0 B           0 B           0 B           144  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     226.402ms        23.80%     226.402ms       1.258ms           0 B           0 B           0 B           0 B           180  
                     aten::_efficient_attention_forward         0.06%     587.307us         3.68%      35.222ms     978.381us     171.689ms        18.04%     171.806ms       4.772ms           0 B           0 B     596.00 MB           0 B            36  
fmha_cutlassF_bf16_aligned_64x128_rf_sm80(PyTorchMem...         0.00%       0.000us         0.00%       0.000us       0.000us     171.689ms        18.04%     171.689ms       4.769ms           0 B           0 B           0 B           0 B            36  
                                              aten::mul         1.10%      10.513ms        15.58%     149.311ms     158.169us      71.110ms         7.47%      71.110ms      75.328us           0 B           0 B      14.42 GB      14.42 GB           944  
                                            aten::copy_         0.64%       6.167ms        49.81%     477.245ms     564.120us      49.283ms         5.18%      49.283ms      58.254us           0 B           0 B           0 B           0 B           846  
